x_vc,y_vc,x_cs,y_cs,diff_x,diff_y
-0.133318,0.787214,0.0961298,3.26292,-0.229448,-2.4757
-0.15393,0.893886,0.099167,3.25398,-0.253097,-2.3601
-0.151846,0.884153,0.0977472,3.26508,-0.249593,-2.38093
-0.152792,0.896341,0.0987215,3.26475,-0.251513,-2.36841
-0.184859,1.04663,0.0982139,3.25639,-0.283073,-2.20975
-0.177222,0.994801,0.0959269,3.2695,-0.273149,-2.2747
-0.175292,0.963481,0.0966228,3.25644,-0.271914,-2.29296
-0.185798,1.03208,0.100131,3.2682,-0.28593,-2.23612
-0.19057,1.07551,0.100106,3.26314,-0.290675,-2.18763
-0.189699,1.1237,0.0995932,3.25742,-0.289293,-2.13372
-0.182246,1.15908,0.0987234,3.25708,-0.280969,-2.09799
-0.170372,1.19328,0.100287,3.24977,-0.270659,-2.05649
-0.159295,1.21662,0.0980978,3.27082,-0.257392,-2.0542
-0.137772,1.24617,0.0989134,3.26476,-0.236685,-2.01859
-0.109862,1.27483,0.100252,3.25668,-0.210114,-1.98186
-0.0803201,1.2921,0.100179,3.25667,-0.180499,-1.96457
-0.0479035,1.30021,0.0999062,3.25691,-0.14781,-1.9567
-0.00596909,1.31803,0.0994737,3.26615,-0.105443,-1.94812
0.0120757,1.31815,0.0987671,3.26673,-0.0866914,-1.94858
0.050809,1.32355,0.0998429,3.2638,-0.0490339,-1.94025
0.0698961,1.3267,0.0977505,3.26753,-0.0278544,-1.94084
0.102502,1.31378,0.0995069,3.25719,0.00299558,-1.94341
0.134642,1.31067,0.0979544,3.25311,0.0366873,-1.94244
0.149362,1.30568,0.0989998,3.24917,0.0503619,-1.94349
0.199274,1.28239,0.0998522,3.25513,0.099422,-1.97273
0.236689,1.25496,0.0980476,3.26389,0.138641,-2.00893
0.263699,1.24074,0.0963616,3.26335,0.167337,-2.02261
0.287618,1.22422,0.100151,3.25623,0.187467,-2.032
0.342704,1.14669,0.0967158,3.26552,0.245989,-2.11883
0.342704,1.14669,0.100371,3.26394,0.242334,-2.11725
0.342704,1.14669,0.0973655,3.25622,0.245339,-2.10953
0.342704,1.14669,0.100089,3.24955,0.242615,-2.10286
0.342704,1.14669,0.099347,3.26066,0.243358,-2.11397
0.342704,1.14669,0.0967391,3.25351,0.245965,-2.10682
0.342704,1.14669,0.0995121,3.25268,0.243192,-2.10599
0.342704,1.14669,0.0970494,3.26008,0.245655,-2.11339
0.342704,1.14669,0.0995708,3.25386,0.243134,-2.10717
0.342704,1.14669,0.101969,3.25744,0.240735,-2.11075
0.342704,1.14669,0.101752,3.26077,0.240953,-2.11408
0.342704,1.14669,0.100612,3.2591,0.242092,-2.11241
0.342704,1.14669,0.0968725,3.26028,0.245832,-2.11359
0.342704,1.14669,0.0959253,3.25976,0.246779,-2.11307
0.342704,1.14669,0.100248,3.25793,0.242457,-2.11124
0.342704,1.14669,0.0999213,3.26052,0.242783,-2.11383
0.342704,1.14669,0.0994415,3.26192,0.243263,-2.11523
0.342704,1.14669,0.0984003,3.26598,0.244304,-2.11929
